Latitude,Longitude,Site,mean_size,sd_size
19.2996,-155.084,HAW-28,0.1598915989,0.9549163344
22.1642,-159.298933,KAU-02,0.4664914586,2.0511214943
20.192383,-155.703383,HAW-20,0.8122866894,2.600497692
21.5337,-158.2333,OAH-04,1.0679933665,2.4454895331
21.5614,-158.2616,OAH-02,1.1,2.5262441584
20.7337,-156.9213,LAN-06,1.2920604915,5.8543301869
20.7751,-156.9897,LAN-03,1.5652648826,3.3400983957
21.3192,-157.6541,OAH-12,1.6765327696,5.1526506084
20.2472,-155.7766,HAW-21,1.686940966,3.8748834343
20.9141,-156.2144,MAI-19,1.8741935484,4.3039199732
21.990383,-160.124833,NII-04,2.0505952381,2.7902494838
20.8706,-156.8348,LAN-07,2.0962025316,5.9002590289
21.9458,-160.1633,NII-09,2.2380952381,4.8049513633
21.8897,-159.6088,KAU-06,2.3043478261,4.7356991143
21.43575,-157.791533,E,2.4226804124,14.3171588431
20.7412,-156.8758,LAN-05,2.5951219512,6.4432409967
21.1861,-157.2534,MOL-05,2.669921875,5.0051278591
20.267028,-155.847965,HAW-32,2.778177458,4.4831233257
20.9869,-156.5269,MAI-10,2.7869565217,4.8345158702
22.0068,-160.079,NII-07,2.8111888112,3.4231009929
22.2306,-159.4054,KAU-03,2.8120300752,6.2633498346
20.6597,-156.0411,MAI-14,2.8352553542,4.5954356634
20.948,-156.2817,MAI-20,2.8790560472,5.2572973511
21.9304,-159.6595,KAU-12,2.9077490775,6.8585425854
19.424,-154.8806,HAW-08,3.0202839757,7.3087814929
21.03055,-156.589983,MAI-12,3.0781609195,4.9577343868
21.8689,-159.4472,KAU-05,3.0869565217,8.0004363575
21.007433,-156.667717,MAI-07,3.1536796537,4.6770053512
20.78,-156.8203,LAN-04,3.2307692308,8.5596843605
22.0216,-160.0939,LEH-02,3.3680981595,3.3443467229
22.0165,-160.0914,LEH-01,3.4795321637,3.721758455
18.939,-155.6884,HAW-14,3.5509933775,8.1211635917
20.655417,-156.4449,MAI-06,3.5625,5.5233219577
19.394,-154.9274,HAW-09,3.6293103448,7.8806356704
21.1699,-156.8784,MOL-07,3.6343283582,6.9320306808
19.29970773,-155.0840717,HAW-28,3.956284153,3.9541675561
21.5912,-158.2095,OAH-03,3.9744680851,7.6011264371
27.785467,-175.82375,PHR_R33,4,1.6589565251
21.442697,-157.787061,I,4.0832646331,17.8476452458
19.2533,-155.197,HAW-10,4.1203703704,6.6618247434
22.23061443,-159.405432,KAU-03,4.1829268293,3.4964816488
20.24713713,-155.7766393,HAW-21,4.204620462,5.3349135967
19.2672,-155.2554,HAW-11,4.2450199203,7.0556474386
19.999,-155.2494,HAW-29,4.3483870968,9.0540223666
22.2265,-159.5646,KAU-13,4.4117647059,11.4388399247
20.26707508,-155.8476048,HAW-32,4.4301470588,3.9873752773
21.1249,-157.3032,MOL-02,4.512605042,6.6937823903
20.91415146,-156.2142809,MAI-19,4.5168269231,4.1681182983
20.745567,-155.981317,MAI-13,4.5223048327,5.3836486596
20.863133,-156.151317,MAI-02,4.6753246753,8.814322899
21.18365,-156.9245,MOL-06,4.7923076923,4.3196527707
21.45151301,-158.2050134,OAH-17,4.8322147651,3.1502953198
21.443567,-157.789117,J,4.8634064081,20.727394717
20.19257446,-155.7033439,HAW-20,5,5.1680616056
27.772788,-175.939602,PHR_31,5,NA
28.27393,-177.3508,MID_r23_21,5,NA
20.98681343,-156.5269317,MAI-10,5.0214285714,5.2418381022
19.006233,-155.7963,HAW-23,5.1046025105,13.2198606921
21.170467,-156.843733,MOL-08,5.3333333333,3.5714170969
22.1669,-159.6802,KAU-08,5.3416149068,5.8513946949
22.1377,-159.7613,KAU-15,5.477124183,6.9746580442
22.16684307,-159.6800101,KAU-08,5.5327868852,3.4549866374
18.968567,-155.73085,HAW-22,5.5418569254,11.6437921107
21.18619108,-157.2533507,MOL-05,5.6240875912,4.172244335
27.78578,-175.82842,PHR_40101,5.7021276596,5.1284156958
20.832,-156.6481,MAI-08,5.8593040847,10.9554134453
21.87514286,-160.122432,NII-02,5.8947368421,4.1216870446
21.95202026,-160.062603,NII-01,5.9219858156,4.1141556205
20.0582,-155.3661,HAW-30,5.953271028,9.1265921668
22.22113073,-159.5916966,KAU-07,5.9696969697,5.9375225808
20.74554898,-155.9812924,MAI-13,5.9900249377,6.0199584923
20.65965434,-156.0411189,MAI-14,6.0051948052,5.029597195
21.4378,-157.790319,D,6.137829912,20.1081161421
20.7623,-155.9798,MAI-01,6.1893004115,10.3467350584
21.00742822,-156.6677906,MAI-07,6.2034632035,5.5751374133
21.99038029,-160.124829,NII-04,6.2352941176,4.5813302085
22.05361445,-159.3134797,KAU-01,6.3032786885,4.2052492664
22.11233899,-159.7471336,KAU-09,6.3068181818,4.2598309678
27.775752,-175.973484,PHR_32,6.4,2.9451119182
21.0642866,-156.9867609,MOL-14,6.4285714286,2.1491969707
19.7077,-154.9843,HAW-25,6.4365384615,7.3037464677
18.965417,-155.6182,HAW-12,6.4821428571,16.6055607208
20.09518915,-155.4463331,HAW-31,6.62109375,6.257934914
23.62992,-166.11151,FFS-4112,6.6428571429,3.7948779824
21.81669963,-160.1860375,NII-03,6.6666666667,3.0550504633
21.437208,-157.787539,C,6.6726618705,18.9011339653
27.78471417,-175.8880516,PHR_4069,6.7384615385,3.3553917575
19.0383,-155.8826,HAW-24,6.8103130755,7.689483671
20.77520558,-156.9900771,LAN-03,6.8311499272,5.6460741788
21.90682026,-160.2109742,NII-05,6.84375,5.1999340877
27.7900146,-175.8737878,PHR_4048,6.9230769231,4.8038446142
22.16405324,-159.298801,KAU-02,6.9328358209,4.4302408516
19.0755,-155.5525,HAW-17,6.9624724062,11.4557982798
19.339767,-154.989483,HAW-33,7,3.9938477277
21.31181502,-158.1273883,OAH-01,7.2198275862,5.3394670329
21.12473555,-157.3034402,MOL-02,7.2324561404,5.995842842
20.94806188,-156.2818276,MAI-20,7.4818181818,7.5673316364
27.9578,-175.80208,PHR_tc26,7.5,2.8867513459
22.20886029,-159.5115982,KAU-307,7.6923076923,6.1696112166
22.21768652,-159.5038459,KAU-338,7.7857142857,7.8267644502
21.28634267,-158.0404096,OAH-13,7.7878787879,6.6437133998
21.94592712,-160.1630919,NII-09,7.8,7.3795083073
22.20584532,-159.5088414,KAU-301,7.8181818182,6.8635431891
21.03058616,-156.5900207,MAI-12,7.8510638298,7.1210085168
19.808717,-155.0896,HAW-01,7.8679245283,9.467723751
21.433728,-157.786256,A,7.9812967581,25.139628044
20.65592498,-156.4454834,MAI-06,8.1685393258,7.3914010166
22.162717,-159.729133,KAU-14,8.1764705882,7.3121977062
19.70765663,-154.9840849,HAW-25,8.4524421594,6.3882886928
22.21783178,-159.5031637,KAU-339,8.5,8.1819584724
20.86314054,-156.1514562,MAI-02,8.7075471698,7.3850970481
19.7415,-155.0304,HAW-26,8.7326388889,11.8936069254
21.8897599,-159.6088704,KAU-06,8.735483871,5.9490012469
22.2129463,-159.5132949,KAU-325,8.7368421053,10.7655978145
22.21560714,-159.5038906,KAU-336,8.8181818182,7.1215103097
19.12912359,-155.9181864,HAW-38,9.0209059233,8.4650401105
20.923033,-156.909367,LAN-08,9.1933701657,9.9778176316
21.29295138,-158.0210568,OAH-16,9.2,9.0977810621
23.05328437,-161.9216014,NIH_145,9.25,4.6260134025
27.84535214,-175.9744687,PH370,9.3,7.5136912071
21.430239,-157.787483,H,9.3992673993,23.4779705703
22.21828013,-159.5386748,KAU-433,9.55,8.9176052957
19.42394069,-154.8805369,HAW-08,9.747826087,11.159693128
20.83204301,-156.6479811,MAI-08,9.7531380753,9.3442064129
22.21979859,-159.5025311,KAU-342,9.7647058824,8.8919163554
19.30423077,-155.8895059,HAW-40,9.8484848485,9.8074205942
23.062605,-161.92915,NIH_139,10,10.0761804155
21.3194635,-157.6539883,OAH-12,10.0650406504,10.1753923556
19.03819545,-155.8825168,HAW-24,10.1924778761,8.5311811574
20.0951,-155.4463,HAW-31,10.2285714286,8.0585473253
20.05847038,-155.3661923,HAW-30,10.4754901961,9.2525798429
22.21315275,-159.51381,KAU-312,10.6212121212,10.1674672007
22.20882769,-159.5094469,KAU-304,10.6315789474,5.7175220576
21.93040484,-159.6595575,KAU-12,10.7676767677,7.3413207609
19.97802942,-155.8380342,HAW-36,10.9710743802,9.8329770678
23.62589,-166.11365,FFS-4152,10.976744186,4.6572440864
22.23280932,-159.455079,KAU-377,11.0294117647,6.431387494
22.209472,-159.5106245,KAU-305,11.1230769231,9.8067382643
18.96851024,-155.7306727,HAW-22,11.1780104712,9.3766190606
22.2190868,-159.5032638,KAU-340,11.275862069,6.4801705871
19.21420678,-155.9017571,HAW-39,11.3307607497,7.5837321372
20.77986944,-156.8204173,LAN-04,11.4100719424,8.3152420124
19.07470903,-155.9010131,HAW-34,11.6224719101,11.6631180524
22.21526164,-159.5029553,KAU-335,11.75,9.7380155765
23.06202786,-161.9290737,NIH_1,11.8947368421,8.6724002627
19.99904788,-155.2493707,HAW-29,12.0263157895,10.2462719352
19.93124583,-155.8904658,HAW-37,12.0552995392,11.5842802632
20.59223609,-156.4199428,MAI-23,12.1440972222,8.4894860735
20.79076658,-156.5837262,MAI-09,12.331092437,11.3132453279
22.2104728,-159.5115336,KAU-308,12.4166666667,11.7846752789
22.2124428,-159.5128771,KAU-310,12.5806451613,13.39017059
22.21362163,-159.5129588,KAU-311,12.8367346939,11.0214694626
22.21672202,-159.5036261,KAU-337,12.8787878788,10.7230988285
21.3812419,-157.6866307,OAH-15,12.9122807018,6.4870219388
22.21282351,-159.5147954,KAU-313,12.9285714286,11.4654282064
22.22011476,-159.5389989,KAU-446,12.9333333333,13.5671171096
22.20784265,-159.5093345,KAU-303,13,19.3954071414
22.21199345,-159.5122582,KAU-323,13.0576923077,10.8725476596
21.083,-157.2671,MOL-03,13.256,14.7566084849
19.39414429,-154.9274326,HAW-09,14.196969697,11.3349014441
22.21437701,-159.5133377,KAU-331,14.7384615385,14.3736705071
20.07471208,-155.8648396,HAW-35,14.7931034483,14.0408802691
20.91030249,-156.6958033,MAI-22,15.1251819505,11.6863301539
21.3813,-157.68675,OAH-15,15.2244897959,8.1221541327
27.78071463,-175.928858,PH411,15.25,14.5
25.76872775,-171.7625261,152,15.3142857143,8.9697905693
22.22074902,-159.5387994,KAU-435,15.652173913,8.0148084288
20.73391205,-156.9215076,LAN-06,15.7955390335,13.3729979823
21.43555,-157.786444,B,15.8228684732,30.0889392476
19.80878681,-155.08948,HAW-01,15.9453125,11.2616054531
20.87046088,-156.8346712,LAN-07,15.9906832298,13.5288974264
22.21461338,-159.5020914,KAU-334,16.1428571429,11.8381948431
21.03479278,-156.8870764,MOL-12,16.1881188119,11.3690042407
20.92295414,-156.9092792,LAN-08,16.5321637427,11.8630848829
20.74127228,-156.8758327,LAN-05,16.6195652174,18.5743767151
20.76226207,-155.9797715,MAI-01,16.7419354839,13.9976019826
19.74144878,-155.0303544,HAW-26,16.9047619048,10.5361317978
23.836467,-166.266833,FFS_33,16.9552572707,15.1772121743
22.21292711,-159.5154983,KAU-314,17.09375,9.4369191767
23.06233905,-161.92909,NIH_138,17.32,8.8398717939
21.430542,-157.79035,G,17.4390243902,28.3913728654
21.08039629,-157.2157718,MOL-04,17.6041666667,11.8550457582
21.41212947,-157.7097973,OAH-14,17.6416184971,14.2330642623
20.72488868,-156.4565075,MAI-05,17.9860465116,12.4294190772
22.20677756,-159.5092243,KAU-302,18.2666666667,16.1791769187
23.850983,-166.329267,FFS_r16,18.564516129,36.7908264316
21.9594001,-159.3282305,KAU-04,18.7424242424,12.4038587123
21.0778801,-157.0408512,MOL-09,18.925,13.9839716245
27.78405057,-175.9463782,PH410,19.2,26.3571622145
20.78963427,-156.5101157,Maalaea,19.347826087,9.4079690382
21.04464328,-156.9277678,MOL-13,19.4202898551,16.590302151
19.3785,-155.899,Hookena,19.76943881,12.6578899385
21.08279536,-157.2670377,MOL-03,19.7908163265,12.7348549506
20.07,-155.86,Waiakailio,19.8434343434,18.5209644508
21.412217,-157.7098,OAH-14,19.9047619048,14.7338914617
22.23048694,-159.4615532,KAU-362,22,7.0710678119
20.63233108,-156.4963794,Molokini,22.25,26.3477616783
20.910083,-156.695633,MAI-22,22.8598484848,14.412686426
25.791855,-171.7424,162,23.0681818182,13.6729196407
21.86891008,-159.4471448,KAU-05,23.4861111111,19.8643236401
21.08341402,-157.1284758,MOL-11,23.7,25.6738274289
19.6378,-155.9976,Kailua,23.9594771242,18.4025456691
19.42337,-155.91319,Hookena,24.4388489209,18.7276882159
20.9364,-156.486867,MAI-21,24.9801980198,31.8216360571
19.95,-155.86,Maunalani,25.6281588448,17.0738698101
19.36,-155.89,Honaunau,25.8211143695,16.8749804337
19.4628,-155.9255,Keei,25.9556084027,12.0545125187
20.93687344,-156.6935867,Kahekili,26,10.677078252
19.074833,-155.901017,HAW-34,26.1325966851,26.786482669
27.96525459,-175.7735931,PH102,26.5,29.3442704271
25.7612,-171.7514552,158,26.8157894737,18.5543107298
28.41844192,-178.2847932,K104,27.25,17.6739798918
19.4227,-155.9126,Honaunau,27.3166666667,16.1762000099
28.38546818,-178.3352798,K106,27.9523809524,20.0660813077
27.96533113,-175.7872333,PH101,28.5555555556,17.9172480526
19.63,-155.99,Kailua,28.614379085,15.7601780743
19.672,-156.03,Honokohau,28.9426313981,12.0544500551
20.07578,-155.86505,Waiakailio,29.2606310014,13.9717375691
26.065898,-174.001707,LIS_12,29.347826087,42.3148274536
19.9697,-155.8492,Puako,29.3802870091,12.3063780335
27.95926,-175.8201124,PH363,29.4090909091,16.1942349851
19.5682,-155.969,Keauhou,29.8059810357,14.9822861576
19.9523,-155.8638,Maunalani,30.0944386149,11.7266287314
19.84,-155.98,Kaupulehu,30.4045977011,12.8302270189
19.67,-156.03,Honokohau,30.7896039604,15.8175952171
22.21854893,-159.5383748,KAU-441,31.4,14.310835056
22.2094772,-159.5119679,KAU-321,32.35,23.6070350799
19.56,-155.96,Keauhou,33.0294117647,14.5966940022
19.96,-155.84,Puako,33.0607902736,13.3771264772
23.057383,-161.9198748,NIH_142,33.5384615385,32.1367271322
19.8337,-155.9883,Kaupulehu,33.6190288196,13.2233720454
25.78558217,-171.7368036,165,34.2857142857,31.4619952142
28.38484788,-178.33472,K177,35.4444444444,27.6005588652
22.2264928,-159.5644887,KAU-13,36,19.7989898732
28.44871677,-178.29736,K108,37.1875,25.6624726011
23.83664275,-166.2668648,FFS33,37.3214285714,25.8156621588
19.737969,-155.01519,Waiuli,38.8235294118,32.7247267359
19.68634,-156.035764,Kaloko,39.0387243736,33.4625624022
25.77398163,-171.74541,172,40.25,28.9214732146
23.86798785,-166.3292662,130,40.7647058824,29.79204888
19.42182,-155.9153,Ho-DO,41.3333333333,48.7510683644
19.835904,-155.989257,Kahuwai,45.6383561644,33.2288594474
25.94316888,-173.8876576,L255,46.4,37.8262947092
26.03493518,-174.0010545,L242,48.125,38.9892736729
25.7712,-171.7525841,156,49.0384615385,31.0798722896
23.67083738,-166.2429517,124,52.25,68.2425048902
23.85618668,-166.3004119,132,54.1538461538,50.2415702841
19.487952,-154.819156,Waiopae,56.1666666667,40.379815484
19.636319,-156.000186,Kailua_Kona,60.9168399168,48.0941063956
25.94316888,-173.8876576,L235,61.8181818182,37.7203196013
27.89231899,-175.9103552,PH406,63.0588235294,35.5008284907
23.74455,-166.1738139,FFS192,68.0454545455,50.7134595384
27.89911403,-175.8701272,PH407,90.4545454545,60.1693857236
23.85163593,-166.32636,1,94.5,131.7952958189
23.6573037,-166.1811064,FFS158,96.8,64.7868654207
27.82604219,-175.8335522,PH108,101.8148148148,65.4287851479
